id,orden,palabra,valoracion,etiqueta
#縉OMBRE?,1,avance,10,Tecnolog韆
#縉OMBRE?,2,automatizacion,10,Automatizaci髇
#縉OMBRE?,3,crecimiento,10,Automatizaci髇
#縉OMBRE?,4,productividad,10,Automatizaci髇
#縉OMBRE?,5,economia,10,Automatizaci髇
#縉OMBRE?,1,Pregunta ,10,Incertidumbre
#縉OMBRE?,2,Incertidumbre,9,Incertidumbre
#縉OMBRE?,3,Inacabado,9,Incertidumbre
#縉OMBRE?,4,Con otres ,10,Sociedad
#縉OMBRE?,5,Construccion ,10,Automatizaci髇
#縉OMBRE?,1,Aprendizaje,7,Educaci髇
#縉OMBRE?,2,Terminator,3,Inteligencia Artificial
#縉OMBRE?,3,Skynet,4,Inteligencia Artificial
#縉OMBRE?,4,Clasificacion,5,Inteligencia Artificial
#縉OMBRE?,5,Robot,6,Inteligencia Artificial
-Lxi-8WscHCMSexYbcFz,1,Pensamiento,10,Inteligencia Artificial
-Lxi-8WscHCMSexYbcFz,2,Desarrollo,10,Tecnolog韆
-Lxi-8WscHCMSexYbcFz,3,Innovaci贸n ,10,Tecnolog韆
-Lxi-8WscHCMSexYbcFz,4,Libertad,10,Sociedad
-Lxi-8WscHCMSexYbcFz,5,Amplitud,10,Tecnolog韆
-M0-0z2zotlRiIwfkQce,1,investigacion,8,Medios
-M0-0z2zotlRiIwfkQce,2,analiticas,5,Tecnolog韆
-M0-0z2zotlRiIwfkQce,3,IA,10,Inteligencia Artificial
-M0-0z2zotlRiIwfkQce,4,informacion,10,Informaci髇
-M0-0z2zotlRiIwfkQce,5,getcontext,10,Tecnolog韆
-M0-4Gp_gyHCRCZSjpjJ,1,Ciencia,8,Tecnolog韆
-M0-4Gp_gyHCRCZSjpjJ,2,Tecnologia,10,Tecnolog韆
-M0-4Gp_gyHCRCZSjpjJ,3,Aprendizaje,7,Educaci髇
-M0-4Gp_gyHCRCZSjpjJ,4,Trabajo,10,Sociedad
-M0-4Gp_gyHCRCZSjpjJ,5,Relaciones personales,7,Sociedad
-M0-5LZpujeV-7Nz4J6F,1,Informaci贸n ,10,Informaci髇
-M0-5LZpujeV-7Nz4J6F,2,Publicidad,0,Medios
-M0-5LZpujeV-7Nz4J6F,3,Robo de datos,0,Privacidad
-M0-5LZpujeV-7Nz4J6F,4,Stalkeo,0,Privacidad
-M0-5LZpujeV-7Nz4J6F,5,Multinacionales,0,Control
-M0-9OQkabuGoSmceB5E,1,Informaci贸n,10,Informaci髇
-M0-9OQkabuGoSmceB5E,2,An谩lisis,10,Tecnolog韆
-M0-9OQkabuGoSmceB5E,3,Investigaci贸n,10,Medios
-M0-9OQkabuGoSmceB5E,4,Comercial,9,Automatizaci髇
-M0-9OQkabuGoSmceB5E,5,Filtraci贸n,0,Privacidad
#縉OMBRE?,1,Delfos,9,Tecnolog韆
